date,P_Kweek_-2_Kday_-4_ETE_60_ORD_61_EXT_72_E2Ekor_69_EXTkor_59_DIFF_26,a,b,c,d,e
Fri Apr 10 16:00:00 UTC 2026,0.70709,1071.9148099999875,null,null,null,822.0571457664109
Fri Apr 10 17:00:00 UTC 2026,0.70709,1231.9148099999875,null,null,null,824.7323282481627
Fri Apr 10 18:00:00 UTC 2026,0.70709,1188.9148099999875,null,null,null,827.4075107299145
Fri Apr 10 19:00:00 UTC 2026,0.70709,1153.9148099999875,null,null,null,830.0826932116663
Fri Apr 10 20:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,832.7578756934181
Fri Apr 10 21:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,835.4330581751699
Fri Apr 10 22:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,838.1082406569218
Fri Apr 10 23:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,840.7834231386736
Sat Apr 11 00:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,843.4586056204255
Sat Apr 11 01:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,846.1337881021773
Sat Apr 11 02:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,848.8089705839291
Sat Apr 11 03:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,851.4841530656809
Sat Apr 11 04:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,854.1593355474328
Sat Apr 11 05:00:00 UTC 2026,0.70709,1291.9148099999875,null,null,null,856.8345180291847
Sat Apr 11 06:00:00 UTC 2026,1291.9148099999875,null,null,null,null,859.5097005109365
Sat Apr 11 07:00:00 UTC 2026,1291.9148099999875,null,null,null,null,862.1848829926882
Sat Apr 11 08:00:00 UTC 2026,1291.9148099999875,null,null,null,null,864.86006547444
Sat Apr 11 09:00:00 UTC 2026,1291.9148099999875,null,null,null,null,867.5352479561918
Sat Apr 11 10:00:00 UTC 2026,1291.9148099999875,null,null,null,null,870.2104304379436
Sat Apr 11 11:00:00 UTC 2026,1291.9148099999875,null,null,null,null,872.8856129196954
