date,P_Kweek_-85_Kday_0_ETE_67_ORD_69_EXT_84_E2Ekor_82_EXTkor_66_DIFF_26,a,b,c,d,e
Sat Apr 11 11:00:00 UTC 2026,0.55818,853.9180000000051,null,null,null,1585.7697441860519
Sat Apr 11 12:00:00 UTC 2026,0.55818,853.9180000000051,null,null,null,1581.476139534889
Sat Apr 11 13:00:00 UTC 2026,0.55815,853.9180000000051,null,null,null,1577.1825348837262
Sat Apr 11 14:00:00 UTC 2026,0.55818,853.9180000000051,null,null,null,1572.8889302325633
Sat Apr 11 15:00:00 UTC 2026,0.55818,853.9180000000051,null,null,null,1568.5953255814004
Sat Apr 11 16:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1564.3017209302377
Sat Apr 11 17:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1560.0081162790748
Sat Apr 11 18:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1555.714511627912
Sat Apr 11 19:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1551.4209069767494
Sat Apr 11 20:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1547.1273023255865
Sat Apr 11 21:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1542.8336976744238
Sat Apr 11 22:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1538.5400930232609
Sat Apr 11 23:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1534.2464883720982
Sun Apr 12 00:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1529.9528837209355
Sun Apr 12 01:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1525.6592790697725
Sun Apr 12 02:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1521.3656744186098
Sun Apr 12 03:00:00 UTC 2026,0.5581,853.9180000000051,null,null,null,1517.072069767447
Sun Apr 12 04:00:00 UTC 2026,853.9180000000051,null,null,null,null,1512.778465116284
Sun Apr 12 05:00:00 UTC 2026,853.9180000000051,null,null,null,null,1508.4848604651213
Sun Apr 12 06:00:00 UTC 2026,853.9180000000051,null,null,null,null,1504.1912558139584
Sun Apr 12 07:00:00 UTC 2026,853.9180000000051,null,null,null,null,1499.8976511627957
Sun Apr 12 08:00:00 UTC 2026,853.9180000000051,null,null,null,null,1495.6040465116332
Sun Apr 12 09:00:00 UTC 2026,853.9180000000051,null,null,null,null,1491.3104418604703
Sun Apr 12 10:00:00 UTC 2026,853.9180000000051,null,null,null,null,1487.0168372093076
Sun Apr 12 11:00:00 UTC 2026,853.9180000000051,null,null,null,null,1482.723232558145
Sun Apr 12 12:00:00 UTC 2026,853.9180000000051,null,null,null,null,1478.429627906982
Sun Apr 12 13:00:00 UTC 2026,853.9180000000051,null,null,null,null,1474.136023255819
Sun Apr 12 14:00:00 UTC 2026,853.9180000000051,null,null,null,null,1469.8424186046564
Sun Apr 12 15:00:00 UTC 2026,853.9180000000051,null,null,null,null,1465.5488139534934
Sun Apr 12 16:00:00 UTC 2026,853.9180000000051,null,null,null,null,1461.2552093023307
Sun Apr 12 17:00:00 UTC 2026,853.9180000000051,null,null,null,null,1456.9616046511678
Sun Apr 12 18:00:00 UTC 2026,853.9180000000051,null,null,null,null,1452.6680000000051
Sun Apr 12 19:00:00 UTC 2026,853.9180000000051,null,null,null,null,1448.3743953488424
Sun Apr 12 20:00:00 UTC 2026,853.9180000000051,null,null,null,null,1444.0807906976795
Sun Apr 12 21:00:00 UTC 2026,836.9180000000051,null,null,null,null,1439.7871860465168
Sun Apr 12 22:00:00 UTC 2026,921.9180000000051,null,null,null,null,1435.493581395354
Sun Apr 12 23:00:00 UTC 2026,1071.9180000000051,null,null,null,null,1431.1999767441912
Mon Apr 13 00:00:00 UTC 2026,501.9180000000051,null,null,null,null,1426.9063720930283
Mon Apr 13 01:00:00 UTC 2026,661.9180000000051,null,null,null,null,1422.6127674418653
Mon Apr 13 02:00:00 UTC 2026,647.9180000000051,null,null,null,null,1418.3191627907026
Mon Apr 13 03:00:00 UTC 2026,866.9180000000051,null,null,null,null,1414.02555813954
Mon Apr 13 04:00:00 UTC 2026,844.9180000000051,null,null,null,null,1409.731953488377
Mon Apr 13 05:00:00 UTC 2026,620.9180000000051,null,null,null,null,1405.4383488372146
Mon Apr 13 06:00:00 UTC 2026,941.9180000000051,null,null,null,null,1401.1447441860519
Mon Apr 13 07:00:00 UTC 2026,1153.9180000000051,null,null,null,null,1396.851139534889
Mon Apr 13 08:00:00 UTC 2026,933.9180000000051,null,null,null,null,1392.5575348837262
Mon Apr 13 09:00:00 UTC 2026,886.9180000000051,null,null,null,null,1388.2639302325633
Mon Apr 13 10:00:00 UTC 2026,843.9180000000051,null,null,null,null,1383.9703255814004
Mon Apr 13 11:00:00 UTC 2026,666.9180000000051,null,null,null,null,1379.6767209302377
Mon Apr 13 12:00:00 UTC 2026,747.9180000000051,null,null,null,null,1375.3831162790748
Mon Apr 13 13:00:00 UTC 2026,662.9180000000051,null,null,null,null,1371.089511627912
Mon Apr 13 14:00:00 UTC 2026,410.9180000000051,null,null,null,null,1366.7959069767494
Mon Apr 13 15:00:00 UTC 2026,470.9180000000051,null,null,null,null,1362.5023023255865
Mon Apr 13 16:00:00 UTC 2026,577.9180000000051,null,null,null,null,1358.2086976744238
Mon Apr 13 17:00:00 UTC 2026,754.9180000000051,null,null,null,null,1353.9150930232609
Mon Apr 13 18:00:00 UTC 2026,1109.9180000000051,null,null,null,null,1349.6214883720982
Mon Apr 13 19:00:00 UTC 2026,1025.9180000000051,null,null,null,null,1345.3278837209355
Mon Apr 13 20:00:00 UTC 2026,1153.9180000000051,null,null,null,null,1341.0342790697725
Mon Apr 13 21:00:00 UTC 2026,683.9180000000051,null,null,null,null,1336.7406744186098
Mon Apr 13 22:00:00 UTC 2026,755.9180000000051,null,null,null,null,1332.447069767447
Mon Apr 13 23:00:00 UTC 2026,1249.9180000000051,null,null,null,null,1328.153465116284
Tue Apr 14 00:00:00 UTC 2026,983.9180000000051,null,null,null,null,1323.8598604651213
Tue Apr 14 01:00:00 UTC 2026,835.9180000000051,null,null,null,null,1319.5662558139584
Tue Apr 14 02:00:00 UTC 2026,918.9180000000051,null,null,null,null,1315.2726511627957
Tue Apr 14 03:00:00 UTC 2026,523.9180000000051,null,null,null,null,1310.9790465116332
Tue Apr 14 04:00:00 UTC 2026,684.9180000000051,null,null,null,null,1306.6854418604703
Tue Apr 14 05:00:00 UTC 2026,776.9180000000051,null,null,null,null,1302.3918372093076
Tue Apr 14 06:00:00 UTC 2026,861.9180000000051,null,null,null,null,1298.098232558145
Tue Apr 14 07:00:00 UTC 2026,930.9180000000051,null,null,null,null,1293.804627906982
Tue Apr 14 08:00:00 UTC 2026,1337.9180000000051,null,null,null,null,1289.511023255819
Tue Apr 14 09:00:00 UTC 2026,958.9180000000051,null,null,null,null,1285.2174186046561
Tue Apr 14 10:00:00 UTC 2026,1130.9180000000051,null,null,null,null,1280.9238139534934
Tue Apr 14 11:00:00 UTC 2026,1055.9180000000051,null,null,null,null,1276.6302093023307
Tue Apr 14 12:00:00 UTC 2026,1208.9180000000051,null,null,null,null,1272.3366046511678
Tue Apr 14 13:00:00 UTC 2026,1068.9180000000051,null,null,null,null,1268.0430000000051
Tue Apr 14 14:00:00 UTC 2026,1047.9180000000051,null,null,null,null,1263.7493953488424
Tue Apr 14 15:00:00 UTC 2026,880.9180000000051,null,null,null,null,1259.4557906976795
Tue Apr 14 16:00:00 UTC 2026,896.9180000000051,null,null,null,null,1255.1621860465168
Tue Apr 14 17:00:00 UTC 2026,782.9180000000051,null,null,null,null,1250.8685813953539
Tue Apr 14 18:00:00 UTC 2026,744.9180000000051,null,null,null,null,1246.5749767441912
Tue Apr 14 19:00:00 UTC 2026,787.9180000000051,null,null,null,null,1242.2813720930283
Tue Apr 14 20:00:00 UTC 2026,946.9180000000051,null,null,null,null,1237.9877674418653
Tue Apr 14 21:00:00 UTC 2026,597.9180000000051,null,null,null,null,1233.6941627907026
Tue Apr 14 22:00:00 UTC 2026,817.9180000000051,null,null,null,null,1229.40055813954
Tue Apr 14 23:00:00 UTC 2026,973.9180000000051,null,null,null,null,1225.106953488377
Wed Apr 15 00:00:00 UTC 2026,917.9180000000051,null,null,null,null,1220.8133488372146
Wed Apr 15 01:00:00 UTC 2026,1207.9180000000051,null,null,null,null,1216.5197441860519
Wed Apr 15 02:00:00 UTC 2026,833.9180000000051,null,null,null,null,1212.226139534889
Wed Apr 15 03:00:00 UTC 2026,801.9180000000051,null,null,null,null,1207.9325348837262
Wed Apr 15 04:00:00 UTC 2026,739.9180000000051,null,null,null,null,1203.6389302325633
Wed Apr 15 05:00:00 UTC 2026,914.9180000000051,null,null,null,null,1199.3453255814004
Wed Apr 15 06:00:00 UTC 2026,837.9180000000051,null,null,null,null,1195.0517209302377
Wed Apr 15 07:00:00 UTC 2026,590.9180000000051,null,null,null,null,1190.7581162790748
Wed Apr 15 08:00:00 UTC 2026,901.9180000000051,null,null,null,null,1186.464511627912
Wed Apr 15 09:00:00 UTC 2026,669.9180000000051,null,null,null,null,1182.1709069767494
Wed Apr 15 10:00:00 UTC 2026,908.9180000000051,null,null,null,null,1177.8773023255865
Wed Apr 15 11:00:00 UTC 2026,986.9180000000051,null,null,null,null,1173.5836976744238
Wed Apr 15 12:00:00 UTC 2026,827.9180000000051,null,null,null,null,1169.2900930232609
Wed Apr 15 13:00:00 UTC 2026,857.9180000000051,null,null,null,null,1164.9964883720982
Wed Apr 15 14:00:00 UTC 2026,864.9180000000051,null,null,null,null,1160.7028837209352
Wed Apr 15 15:00:00 UTC 2026,887.9180000000051,null,null,null,null,1156.4092790697725
Wed Apr 15 16:00:00 UTC 2026,673.9180000000051,null,null,null,null,1152.1156744186096
Wed Apr 15 17:00:00 UTC 2026,803.9180000000051,null,null,null,null,1147.822069767447
Wed Apr 15 18:00:00 UTC 2026,604.9180000000051,null,null,null,null,1143.5284651162842
Wed Apr 15 19:00:00 UTC 2026,846.9180000000051,null,null,null,null,1139.2348604651213
Wed Apr 15 20:00:00 UTC 2026,952.9180000000051,null,null,null,null,1134.9412558139584
Wed Apr 15 21:00:00 UTC 2026,576.9180000000051,null,null,null,null,1130.6476511627957
Wed Apr 15 22:00:00 UTC 2026,772.9180000000051,null,null,null,null,1126.3540465116332
Wed Apr 15 23:00:00 UTC 2026,542.9180000000051,null,null,null,null,1122.0604418604703
Thu Apr 16 00:00:00 UTC 2026,448.9180000000051,null,null,null,null,1117.7668372093076
Thu Apr 16 01:00:00 UTC 2026,672.9180000000051,null,null,null,null,1113.4732325581447
Thu Apr 16 02:00:00 UTC 2026,609.9180000000051,null,null,null,null,1109.179627906982
Thu Apr 16 03:00:00 UTC 2026,486.9180000000051,null,null,null,null,1104.886023255819
Thu Apr 16 04:00:00 UTC 2026,405.9180000000051,null,null,null,null,1100.5924186046564
Thu Apr 16 05:00:00 UTC 2026,607.9180000000051,null,null,null,null,1096.2988139534937
Thu Apr 16 06:00:00 UTC 2026,447.9180000000051,null,null,null,null,1092.0052093023307
Thu Apr 16 07:00:00 UTC 2026,445.9180000000051,null,null,null,null,1087.7116046511678
Thu Apr 16 08:00:00 UTC 2026,547.9180000000051,null,null,null,null,1083.4180000000051
Thu Apr 16 09:00:00 UTC 2026,159.91800000000512,null,null,null,null,1079.1243953488424
Thu Apr 16 10:00:00 UTC 2026,214.91800000000512,null,null,null,null,1074.8307906976795
Thu Apr 16 11:00:00 UTC 2026,480.9180000000051,null,null,null,null,1070.5371860465166
Thu Apr 16 12:00:00 UTC 2026,627.9180000000051,null,null,null,null,1066.2435813953539
Thu Apr 16 13:00:00 UTC 2026,463.9180000000051,null,null,null,null,1061.9499767441912
Thu Apr 16 14:00:00 UTC 2026,420.9180000000051,null,null,null,null,1057.6563720930285
Thu Apr 16 15:00:00 UTC 2026,431.9180000000051,null,null,null,null,1053.3627674418658
Thu Apr 16 16:00:00 UTC 2026,320.9180000000051,null,null,null,null,1049.0691627907029
Thu Apr 16 17:00:00 UTC 2026,273.9180000000051,null,null,null,null,1044.77555813954
Thu Apr 16 18:00:00 UTC 2026,158.91800000000512,null,null,null,null,1040.4819534883773
Thu Apr 16 19:00:00 UTC 2026,246.91800000000512,null,null,null,null,1036.1883488372143
Thu Apr 16 20:00:00 UTC 2026,313.9180000000051,null,null,null,null,1031.8947441860516
Thu Apr 16 21:00:00 UTC 2026,80.91800000000512,null,null,null,null,1027.601139534889
Thu Apr 16 22:00:00 UTC 2026,249.91800000000512,null,null,null,null,1023.307534883726
Thu Apr 16 23:00:00 UTC 2026,139.91800000000512,null,null,null,null,1019.0139302325632
Fri Apr 17 00:00:00 UTC 2026,444.9180000000051,null,null,null,null,1014.7203255814004
Fri Apr 17 01:00:00 UTC 2026,366.9180000000051,null,null,null,null,1010.4267209302377
Fri Apr 17 02:00:00 UTC 2026,445.9180000000051,null,null,null,null,1006.133116279075
Fri Apr 17 03:00:00 UTC 2026,146.91800000000512,null,null,null,null,1001.8395116279121
Fri Apr 17 04:00:00 UTC 2026,348.9180000000051,null,null,null,null,997.5459069767493
Fri Apr 17 05:00:00 UTC 2026,321.9180000000051,null,null,null,null,993.2523023255865
Fri Apr 17 06:00:00 UTC 2026,67.91800000000512,null,null,null,null,988.9586976744238
Fri Apr 17 07:00:00 UTC 2026,166.91800000000512,null,null,null,null,984.665093023261
Fri Apr 17 08:00:00 UTC 2026,276.9180000000051,null,null,null,null,980.3714883720982
Fri Apr 17 09:00:00 UTC 2026,202.91800000000512,null,null,null,null,976.0778837209352
Fri Apr 17 10:00:00 UTC 2026,217.91800000000512,null,null,null,null,971.7842790697725
Fri Apr 17 11:00:00 UTC 2026,582.9180000000051,null,null,null,null,967.4906744186098
Fri Apr 17 12:00:00 UTC 2026,707.9180000000051,null,null,null,null,963.197069767447
Fri Apr 17 13:00:00 UTC 2026,555.9180000000051,null,null,null,null,958.9034651162842
Fri Apr 17 14:00:00 UTC 2026,610.9180000000051,null,null,null,null,954.6098604651214
Fri Apr 17 15:00:00 UTC 2026,452.9180000000051,null,null,null,null,950.3162558139586
Fri Apr 17 16:00:00 UTC 2026,386.9180000000051,null,null,null,null,946.0226511627958
Fri Apr 17 17:00:00 UTC 2026,500.9180000000051,null,null,null,null,941.729046511633
Fri Apr 17 18:00:00 UTC 2026,580.9180000000051,null,null,null,null,937.4354418604703
Fri Apr 17 19:00:00 UTC 2026,657.9180000000051,null,null,null,null,933.1418372093075
Fri Apr 17 20:00:00 UTC 2026,587.9180000000051,null,null,null,null,928.8482325581446
Fri Apr 17 21:00:00 UTC 2026,457.9180000000051,null,null,null,null,924.5546279069818
Fri Apr 17 22:00:00 UTC 2026,457.9180000000051,null,null,null,null,920.2610232558192
Fri Apr 17 23:00:00 UTC 2026,457.9180000000051,null,null,null,null,915.9674186046564
Sat Apr 18 00:00:00 UTC 2026,457.9180000000051,null,null,null,null,911.6738139534935
Sat Apr 18 01:00:00 UTC 2026,457.9180000000051,null,null,null,null,907.3802093023307
Sat Apr 18 02:00:00 UTC 2026,457.9180000000051,null,null,null,null,903.0866046511679
Sat Apr 18 03:00:00 UTC 2026,457.9180000000051,null,null,null,null,898.7930000000051
Sat Apr 18 04:00:00 UTC 2026,457.9180000000051,null,null,null,null,894.4993953488423
Sat Apr 18 05:00:00 UTC 2026,457.9180000000051,null,null,null,null,890.2057906976795
Sat Apr 18 06:00:00 UTC 2026,457.9180000000051,null,null,null,null,885.9121860465167
Sat Apr 18 07:00:00 UTC 2026,457.9180000000051,null,null,null,null,881.6185813953539
Sat Apr 18 08:00:00 UTC 2026,457.9180000000051,null,null,null,null,877.3249767441911
Sat Apr 18 09:00:00 UTC 2026,457.9180000000051,null,null,null,null,873.0313720930285
Sat Apr 18 10:00:00 UTC 2026,457.9180000000051,null,null,null,null,868.7377674418657
Sat Apr 18 11:00:00 UTC 2026,457.9180000000051,null,null,null,null,864.4441627907028
Sat Apr 18 12:00:00 UTC 2026,457.9180000000051,null,null,null,null,860.15055813954
Sat Apr 18 13:00:00 UTC 2026,457.9180000000051,null,null,null,null,855.8569534883773
Sat Apr 18 14:00:00 UTC 2026,457.9180000000051,null,null,null,null,851.5633488372144
Sat Apr 18 15:00:00 UTC 2026,457.9180000000051,null,null,null,null,847.2697441860516
Sat Apr 18 16:00:00 UTC 2026,457.9180000000051,null,null,null,null,842.9761395348888
Sat Apr 18 17:00:00 UTC 2026,457.9180000000051,null,null,null,null,838.682534883726
Sat Apr 18 18:00:00 UTC 2026,457.9180000000051,null,null,null,null,834.3889302325632
Sat Apr 18 19:00:00 UTC 2026,457.9180000000051,null,null,null,null,830.0953255814004
Sat Apr 18 20:00:00 UTC 2026,457.9180000000051,null,null,null,null,825.8017209302377
Sat Apr 18 21:00:00 UTC 2026,457.9180000000051,null,null,null,null,821.508116279075
Sat Apr 18 22:00:00 UTC 2026,457.9180000000051,null,null,null,null,817.2145116279121
Sat Apr 18 23:00:00 UTC 2026,457.9180000000051,null,null,null,null,812.9209069767493
Sun Apr 19 00:00:00 UTC 2026,457.9180000000051,null,null,null,null,808.6273023255865
Sun Apr 19 01:00:00 UTC 2026,457.9180000000051,null,null,null,null,804.3336976744238
