date,P_Kweek_78_Kday_-20_ETE_64_ORD_67_EXT_82_E2Ekor_80_EXTkor_63_DIFF_26,a,b,c,d,e
Thu Apr 09 01:00:00 UTC 2026,-4102.2806499999715,null,-4002.2806499999715,null,null,null
Thu Apr 09 02:00:00 UTC 2026,-3833.2806499999715,null,null,null,null,null
Thu Apr 09 03:00:00 UTC 2026,-3555.2806499999715,null,null,null,null,null
Thu Apr 09 04:00:00 UTC 2026,-3109.2806499999715,null,null,null,null,null
Thu Apr 09 05:00:00 UTC 2026,-2955.2806499999715,null,null,null,null,null
Thu Apr 09 06:00:00 UTC 2026,-2925.2806499999715,null,null,null,null,null
Thu Apr 09 07:00:00 UTC 2026,-2999.2806499999715,null,null,null,null,null
Thu Apr 09 08:00:00 UTC 2026,-3327.2806499999715,null,null,null,null,null
Thu Apr 09 09:00:00 UTC 2026,-3046.2806499999715,null,null,null,null,null
Thu Apr 09 10:00:00 UTC 2026,-3196.2806499999715,null,null,null,null,null
Thu Apr 09 11:00:00 UTC 2026,-2796.2806499999715,null,null,null,null,null
Thu Apr 09 12:00:00 UTC 2026,-2615.2806499999715,null,null,null,null,null
Thu Apr 09 13:00:00 UTC 2026,-2362.2806499999715,null,null,null,null,null
Thu Apr 09 14:00:00 UTC 2026,-2364.2806499999715,null,null,null,null,null
Thu Apr 09 15:00:00 UTC 2026,-2264.2806499999715,null,-2164.2806499999715,null,null,null
Thu Apr 09 16:00:00 UTC 2026,-2892.2806499999715,null,-2328.5306499999715,null,null,null
Thu Apr 09 17:00:00 UTC 2026,-2919.2806499999715,null,-2492.7806499999715,null,null,null
Thu Apr 09 18:00:00 UTC 2026,-2737.2806499999715,null,-2657.0306499999715,null,null,null
Thu Apr 09 19:00:00 UTC 2026,-2921.2806499999715,null,-2821.2806499999715,null,null,null
Thu Apr 09 20:00:00 UTC 2026,-2408.2806499999715,null,null,null,null,null
Thu Apr 09 21:00:00 UTC 2026,-2285.2806499999715,null,null,null,null,null
Thu Apr 09 22:00:00 UTC 2026,-2124.2806499999715,null,null,null,null,null
Thu Apr 09 23:00:00 UTC 2026,-2302.2806499999715,null,null,null,null,null
Fri Apr 10 00:00:00 UTC 2026,-1847.2806499999715,null,-1747.2806499999715,null,null,null
Fri Apr 10 01:00:00 UTC 2026,-2222.2806499999715,null,-1893.697316666638,null,null,null
Fri Apr 10 02:00:00 UTC 2026,-2169.2806499999715,null,-2040.113983333305,null,null,null
Fri Apr 10 03:00:00 UTC 2026,-2036.2806499999715,null,-2186.5306499999715,null,null,null
Fri Apr 10 04:00:00 UTC 2026,-2006.2806499999715,null,-2332.947316666638,null,null,null
Fri Apr 10 05:00:00 UTC 2026,-2371.2806499999715,null,-2479.363983333305,null,null,null
Fri Apr 10 06:00:00 UTC 2026,-2283.2806499999715,null,-2625.7806499999715,null,null,null
Fri Apr 10 07:00:00 UTC 2026,-2469.2806499999715,null,-2772.1973166666385,null,null,null
