date,P_Kweek_72_Kday_91_ETE_70_ORD_70_EXT_85_E2Ekor_83_EXTkor_71_DIFF_26,a,b,c,d,e
Fri Apr 03 11:00:00 UTC 2026,-2125.2433200000087,null,-2212.372352258073,null,null,null
Fri Apr 03 12:00:00 UTC 2026,-2211.2433200000087,null,-2185.6949329032345,null,null,null
Fri Apr 03 13:00:00 UTC 2026,-1974.2433200000087,null,-2159.017513548396,null,null,null
Fri Apr 03 14:00:00 UTC 2026,-2055.2433200000087,null,-2132.340094193557,null,null,null
Fri Apr 03 15:00:00 UTC 2026,-1691.2433200000087,null,-2105.6626748387184,null,null,null
Fri Apr 03 16:00:00 UTC 2026,-1662.2433200000087,null,-2078.9852554838794,null,null,null
Fri Apr 03 17:00:00 UTC 2026,-2034.2433200000087,null,-2052.307836129041,null,null,null
Fri Apr 03 18:00:00 UTC 2026,-2100.2433200000087,null,-2025.6304167742023,null,null,null
Fri Apr 03 19:00:00 UTC 2026,-1974.2433200000087,null,-1998.9529974193636,null,null,null
Fri Apr 03 20:00:00 UTC 2026,-1992.2433200000087,null,-1972.2755780645248,null,null,null
Fri Apr 03 21:00:00 UTC 2026,-1992.2433200000087,null,-1945.598158709686,null,null,null
Fri Apr 03 22:00:00 UTC 2026,-1992.2433200000087,null,-1918.9207393548475,null,null,null
Fri Apr 03 23:00:00 UTC 2026,-1992.2433200000087,null,-1892.2433200000087,null,null,null
Sat Apr 04 00:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 01:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 02:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 03:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 04:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 05:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 06:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 07:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 08:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 09:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 10:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 11:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 12:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 13:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 14:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 15:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 16:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 17:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 18:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 19:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 20:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 21:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 22:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
Sat Apr 04 23:00:00 UTC 2026,-1992.2433200000087,null,null,null,null,null
