date,P_Kweek_51_Kday_56_ETE_62_ORD_61_EXT_73_E2Ekor_74_EXTkor_61_DIFF_27,a,b,c,d,e
Fri Apr 03 13:00:00 UTC 2026,31.980240000004414,null,314.26595428571875,null,null,null
Fri Apr 03 14:00:00 UTC 2026,15.980240000004414,null,372.19452571429014,null,null,null
Fri Apr 03 15:00:00 UTC 2026,239.98024000000441,null,430.1230971428615,null,null,null
Fri Apr 03 16:00:00 UTC 2026,143.98024000000441,null,488.051668571433,null,null,null
Fri Apr 03 17:00:00 UTC 2026,445.9802400000044,null,545.9802400000044,null,null,null
Fri Apr 03 18:00:00 UTC 2026,245.98024000000441,null,null,null,null,null
Fri Apr 03 19:00:00 UTC 2026,208.98024000000441,null,null,null,null,null
Fri Apr 03 20:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Fri Apr 03 21:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Fri Apr 03 22:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Fri Apr 03 23:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 00:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 01:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 02:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 03:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 04:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 05:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 06:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 07:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 08:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 09:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 10:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 11:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 12:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
Sat Apr 04 13:00:00 UTC 2026,263.9802400000044,null,null,null,null,null
