date,P_Kweek_64_Kday_-55_ETE_67_ORD_66_EXT_80_E2Ekor_81_EXTkor_67_DIFF_26,a,b,c,d,e
Sun Apr 12 23:00:00 UTC 2026,26.039672857136452,-258.49747000000207,null,null,null,null
Mon Apr 13 00:00:00 UTC 2026,-0.7374700000079883,-306.49747000000207,null,null,null,null
Mon Apr 13 01:00:00 UTC 2026,-87.7631842857212,-431.49747000000207,null,null,null,null
Mon Apr 13 02:00:00 UTC 2026,-10.7788985714526,-351.49747000000207,null,null,null,null
Mon Apr 13 03:00:00 UTC 2026,-19.70461285715089,-454.49747000000207,null,null,null,null
Mon Apr 13 04:00:00 UTC 2026,-57.63889857143681,-366.49747000000207,null,null,null,null
Mon Apr 13 05:00:00 UTC 2026,-338.7988985714408,-401.49747000000207,null,null,null,null
Mon Apr 13 06:00:00 UTC 2026,-365.5760414285852,-204.49747000000207,null,null,null,null
Mon Apr 13 07:00:00 UTC 2026,-450.37032714285516,-165.49747000000207,null,null,null,null
Mon Apr 13 08:00:00 UTC 2026,-583.1403271428557,-368.49747000000207,null,null,null,null
Mon Apr 13 09:00:00 UTC 2026,-613.26461285714,25.502529999997932,null,null,null,null
Mon Apr 13 10:00:00 UTC 2026,-597.6446128571371,-146.49747000000207,null,null,null,null
Mon Apr 13 11:00:00 UTC 2026,-468.2217557143013,-157.49747000000207,null,null,null,null
Mon Apr 13 12:00:00 UTC 2026,-463.7588985714398,30.502529999997932,null,null,null,null
Mon Apr 13 13:00:00 UTC 2026,-442.5603271428537,-26.497470000002068,null,null,null,null
Mon Apr 13 14:00:00 UTC 2026,-442.5603271428537,15.502529999997932,null,null,null,null
Mon Apr 13 15:00:00 UTC 2026,-248.49747000000207,null,null,null,null,null
Mon Apr 13 16:00:00 UTC 2026,-176.49747000000207,null,null,null,null,null
Mon Apr 13 17:00:00 UTC 2026,-300.49747000000207,null,null,null,null,null
Mon Apr 13 18:00:00 UTC 2026,-328.49747000000207,null,null,null,null,null
Mon Apr 13 19:00:00 UTC 2026,-324.49747000000207,null,null,null,null,null
Mon Apr 13 20:00:00 UTC 2026,-275.49747000000207,null,null,null,null,null
Mon Apr 13 21:00:00 UTC 2026,-266.49747000000207,null,null,null,null,null
Mon Apr 13 22:00:00 UTC 2026,-375.49747000000207,null,null,null,null,null
Mon Apr 13 23:00:00 UTC 2026,-346.49747000000207,null,null,null,null,null
Tue Apr 14 00:00:00 UTC 2026,-495.49747000000207,null,null,null,null,null
Tue Apr 14 01:00:00 UTC 2026,-432.49747000000207,null,null,null,null,null
Tue Apr 14 02:00:00 UTC 2026,-405.49747000000207,null,null,null,null,null
Tue Apr 14 03:00:00 UTC 2026,-431.49747000000207,null,null,null,null,null
Tue Apr 14 04:00:00 UTC 2026,-451.49747000000207,null,null,null,null,null
Tue Apr 14 05:00:00 UTC 2026,-434.49747000000207,null,null,null,null,null
Tue Apr 14 06:00:00 UTC 2026,-235.49747000000207,null,null,null,null,null
Tue Apr 14 07:00:00 UTC 2026,-445.49747000000207,null,null,null,null,null
Tue Apr 14 08:00:00 UTC 2026,-410.49747000000207,null,null,null,null,null
Tue Apr 14 09:00:00 UTC 2026,-346.49747000000207,null,null,null,null,null
Tue Apr 14 10:00:00 UTC 2026,-359.49747000000207,null,null,null,null,null
Tue Apr 14 11:00:00 UTC 2026,-347.49747000000207,null,null,null,null,null
Tue Apr 14 12:00:00 UTC 2026,-164.49747000000207,null,null,null,null,null
Tue Apr 14 13:00:00 UTC 2026,-128.49747000000207,null,null,null,null,null
Tue Apr 14 14:00:00 UTC 2026,-228.49747000000207,null,null,null,null,null
Tue Apr 14 15:00:00 UTC 2026,-83.49747000000207,null,null,null,null,null
Tue Apr 14 16:00:00 UTC 2026,-155.49747000000207,null,null,null,null,null
Tue Apr 14 17:00:00 UTC 2026,-444.49747000000207,null,null,null,null,null
Tue Apr 14 18:00:00 UTC 2026,-119.49747000000207,null,null,null,null,null
Tue Apr 14 19:00:00 UTC 2026,-88.49747000000207,null,null,null,null,null
Tue Apr 14 20:00:00 UTC 2026,-282.49747000000207,null,null,null,null,null
