date,P_Kweek_86_Kday_37_ETE_71_ORD_71_EXT_86_E2Ekor_85_EXTkor_70_DIFF_24,a,b,c,d,e
Thu Mar 26 21:00:00 UTC 2026,213.00316,388.1050000000105,null,null,null,null
Thu Mar 26 22:00:00 UTC 2026,212.98696,230.10500000001048,null,null,null,null
Thu Mar 26 23:00:00 UTC 2026,212.77839,191.10500000001048,null,null,null,null
Fri Mar 27 00:00:00 UTC 2026,212.82794,208.10500000001048,null,null,null,null
Fri Mar 27 01:00:00 UTC 2026,213.10065,37.10500000001048,null,null,null,null
Fri Mar 27 02:00:00 UTC 2026,176.10500000001048,null,null,null,null,null
Fri Mar 27 03:00:00 UTC 2026,-11.894999999989523,null,null,null,null,null
Fri Mar 27 04:00:00 UTC 2026,192.10500000001048,null,null,null,null,null
Fri Mar 27 05:00:00 UTC 2026,-21.894999999989523,null,null,null,null,null
Fri Mar 27 06:00:00 UTC 2026,-95.89499999998952,null,null,null,null,null
Fri Mar 27 07:00:00 UTC 2026,-46.89499999998952,null,null,null,null,null
Fri Mar 27 08:00:00 UTC 2026,130.10500000001048,null,null,null,null,null
Fri Mar 27 09:00:00 UTC 2026,298.1050000000105,null,null,null,null,null
Fri Mar 27 10:00:00 UTC 2026,123.10500000001048,null,null,null,null,null
Fri Mar 27 11:00:00 UTC 2026,-21.894999999989523,null,null,null,null,null
Fri Mar 27 12:00:00 UTC 2026,-203.89499999998952,null,null,null,null,null
Fri Mar 27 13:00:00 UTC 2026,-165.89499999998952,null,null,null,null,null
Fri Mar 27 14:00:00 UTC 2026,-289.8949999999895,null,null,null,null,null
Fri Mar 27 15:00:00 UTC 2026,-358.8949999999895,null,null,null,null,null
Fri Mar 27 16:00:00 UTC 2026,-346.8949999999895,null,null,null,null,null
Fri Mar 27 17:00:00 UTC 2026,-510.8949999999895,null,null,null,null,null
Fri Mar 27 18:00:00 UTC 2026,-544.8949999999895,null,null,null,null,null
Fri Mar 27 19:00:00 UTC 2026,-524.8949999999895,null,null,null,null,null
Fri Mar 27 20:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Fri Mar 27 21:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Fri Mar 27 22:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Fri Mar 27 23:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 00:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 01:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 02:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 03:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 04:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 05:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 06:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 07:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 08:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 09:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 10:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 11:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 12:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 13:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 14:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 15:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 16:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 17:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 18:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 19:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 20:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 21:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 22:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sat Mar 28 23:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 00:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 01:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 02:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 03:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 04:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 05:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 06:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 07:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 08:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 09:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 10:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 11:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 12:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 13:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
Sun Mar 29 14:00:00 UTC 2026,-418.8949999999895,null,null,null,null,null
